trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
329,False,"{'a': 0.001, 'e': 0.7203630197053014}",20,0,-24.728685186277318,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
330,False,"{'a': 0.001, 'e': 0.7196430167470754}",25,0,-79.05071195014591,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
331,False,"{'a': 0.001, 'e': 0.7189237334319262}",20,0,-75.99305245300962,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
332,False,"{'a': 0.001, 'e': 0.7182051690405703}",20,0,-63.125411478124654,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
333,False,"{'a': 0.001, 'e': 0.7174873228544433}",30,2,-181.80721790556385,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 4}",1
334,False,"{'a': 0.001, 'e': 0.716770194155699}",30,0,-104.5461963710611,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
335,False,"{'a': 0.001, 'e': 0.7160537822272085}",25,5,-79.51888917277405,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
336,False,"{'a': 0.001, 'e': 0.7153380863525599}",20,3,-91.51498971441508,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
337,False,"{'a': 0.001, 'e': 0.7146231058160573}",20,0,-72.41513309650749,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
338,False,"{'a': 0.001, 'e': 0.71390883990272}",20,0,-40.81884395458096,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
339,False,"{'a': 0.001, 'e': 0.7131952878982822}",25,0,-70.5797454288305,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
340,False,"{'a': 0.001, 'e': 0.7124824490891918}",20,8,-37.1085952510368,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
341,False,"{'a': 0.001, 'e': 0.7117703227626097}",35,0,-126.02690709671644,"{0: 25, 1: 1, 2: 5, 3: 3, 4: 1}",0
342,False,"{'a': 0.001, 'e': 0.7110589082064097}",30,0,-72.28601748198724,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
343,False,"{'a': 0.001, 'e': 0.7103482047091773}",20,0,-30.653283870040116,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
344,False,"{'a': 0.001, 'e': 0.7096382115602087}",30,0,-152.15009779105435,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
345,False,"{'a': 0.001, 'e': 0.7089289280495107}",20,0,-25.997071043083206,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
346,False,"{'a': 0.001, 'e': 0.7082203534678}",30,2,-115.00709359239515,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 1}",1
347,False,"{'a': 0.001, 'e': 0.7075124871065016}",20,10,-3.4207397416322847,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.001, 'e': 0.7068053282577494}",30,9,-84.0082651389675,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 1}",1
349,False,"{'a': 0.001, 'e': 0.7060988762143844}",20,0,-29.270475028502887,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
350,False,"{'a': 0.001, 'e': 0.7053931302699543}",25,0,-64.95206664409564,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
351,False,"{'a': 0.001, 'e': 0.7046880897187134}",20,3,-97.14546715678338,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
